date,signal_date,symbol,action,side,qty,price,trade_value,fee,reason
2023-04-30,2023-04-29,BTCUSDT,CLOSE,SELL,8.429883119111826,29215.834775000003,246286.0723805328,98.51442895221312,signal_or_risk_exit
2023-05-03,2023-05-02,BTCUSDT,OPEN,BUY,8.420222042186179,28684.184924999998,241527.20616762948,96.6108824670518,signal_open_with_atr_risk
2023-05-06,2023-05-05,ETHUSDT,OPEN,BUY,116.52439164113507,1994.2966499999998,232384.20389320364,92.95368155728146,signal_open_with_atr_risk
2023-05-09,2023-05-08,BTCUSDT,CLOSE,SELL,8.420222042186179,27654.9656,232860.95092102053,93.14438036840822,signal_or_risk_exit
2023-05-09,2023-05-08,ETHUSDT,CLOSE,SELL,116.52439164113507,1846.626225,215176.9974566908,86.07079898267632,signal_or_risk_exit
2023-05-29,2023-05-28,BTCUSDT,OPEN,BUY,12.232122704094774,28079.042504999998,343466.29333465267,137.38651733386106,signal_open_with_atr_risk
2023-05-29,2023-05-28,ETHUSDT,OPEN,BUY,189.91327610587666,1909.59432,362657.3133443738,145.0629253377495,signal_open_with_atr_risk
2023-05-31,2023-05-30,ETHUSDT,CLOSE,SELL,189.91327610587666,1899.62971,360764.9016141564,144.30596064566257,signal_or_risk_exit
2023-06-01,2023-05-31,BTCUSDT,CLOSE,SELL,12.232122704094774,27196.754820000002,332674.042111421,133.0696168445684,signal_or_risk_exit
2023-06-01,2023-05-31,ETHUSDT,OPEN,BUY,187.42328893181622,1874.566815,351337.47778973944,140.5349911158958,signal_open_with_atr_risk
2023-06-03,2023-06-02,BTCUSDT,OPEN,BUY,12.050476010863935,27256.211294999997,328450.3203574361,131.38012814297443,signal_open_with_atr_risk
2023-06-05,2023-06-04,BTCUSDT,CLOSE,SELL,12.050476010863935,27101.6424,326587.6915962129,130.63507663848517,signal_or_risk_exit
2023-06-06,2023-06-05,ETHUSDT,CLOSE,SELL,187.42328893181622,1809.584755,339158.32638297486,135.66333055318995,signal_or_risk_exit
2023-06-07,2023-06-06,ETHUSDT,OPEN,BUY,148.83536610048316,1885.592325,280642.8240076362,112.2571296030545,signal_open_with_atr_risk
2023-06-09,2023-06-08,ETHUSDT,CLOSE,SELL,148.83536610048316,1844.7271750000002,274560.6444466351,109.82425777865404,signal_or_risk_exit
2023-06-22,2023-06-21,BTCUSDT,OPEN,BUY,8.5373758837255,30008.886945,256197.147701688,102.4788590806752,signal_open_with_atr_risk
2023-07-06,2023-07-05,ETHUSDT,OPEN,BUY,135.7337466480718,1911.3051749999997,259428.6123905985,103.77144495623939,signal_open_with_atr_risk
2023-07-10,2023-07-09,BTCUSDT,CLOSE,SELL,8.5373758837255,30145.629645,257364.57153094353,102.94582861237741,signal_or_risk_exit
2023-07-10,2023-07-09,ETHUSDT,CLOSE,SELL,135.7337466480718,1861.8785950000001,252719.75750319788,101.08790300127916,signal_or_risk_exit
2023-07-14,2023-07-13,BTCUSDT,OPEN,BUY,10.045673444373355,31469.957114999997,316136.9124857238,126.45476499428952,signal_open_with_atr_risk
2023-07-14,2023-07-13,ETHUSDT,OPEN,BUY,139.68783098619815,2005.492245,280142.86176369106,112.05714470547643,signal_open_with_atr_risk
2023-07-18,2023-07-17,BTCUSDT,CLOSE,SELL,10.045673444373355,30122.940995,302605.228419897,121.04209136795879,signal_or_risk_exit
2023-07-20,2023-07-19,ETHUSDT,CLOSE,SELL,139.68783098619815,1887.6956800000003,263688.1151012164,105.47524604048657,signal_or_risk_exit
2023-10-22,2023-10-21,BTCUSDT,OPEN,BUY,9.582094374210248,29924.754899999996,286741.8255769105,114.69673023076422,signal_open_with_atr_risk
2023-11-08,2023-11-07,ETHUSDT,OPEN,BUY,156.05274877127133,1886.20263,294347.10515110125,117.7388420604405,signal_open_with_atr_risk
2023-11-16,2023-11-15,BTCUSDT,CLOSE,SELL,9.582094374210248,37839.270899999996,362579.4648151075,145.03178592604303,signal_or_risk_exit
2023-11-17,2023-11-16,BTCUSDT,OPEN,BUY,7.2414322843821255,36181.591755,262006.54663499113,104.80261865399646,signal_open_with_atr_risk
2023-11-17,2023-11-16,ETHUSDT,CLOSE,SELL,156.05274877127133,1960.789115,305986.53115653846,122.39461246261538,signal_or_risk_exit
2023-11-22,2023-11-21,BTCUSDT,CLOSE,SELL,7.2414322843821255,35723.779175,258691.32783798288,103.47653113519316,signal_or_risk_exit
2023-11-23,2023-11-22,BTCUSDT,OPEN,BUY,6.892262741428302,37427.054175,257957.09101177106,103.18283640470842,signal_open_with_atr_risk
2023-11-29,2023-11-28,ETHUSDT,OPEN,BUY,116.99845674325414,2049.16407,239749.0338037256,95.89961352149024,signal_open_with_atr_risk
2023-12-16,2023-12-15,BTCUSDT,CLOSE,SELL,6.892262741428302,41919.319855,288918.9663826322,115.56758655305289,signal_or_risk_exit
2023-12-16,2023-12-15,ETHUSDT,CLOSE,SELL,116.99845674325414,2219.399745,259666.34506137177,103.86653802454872,signal_or_risk_exit
2023-12-21,2023-12-20,BTCUSDT,OPEN,BUY,6.135489083357805,43690.75446,268064.1470329963,107.22565881319852,signal_open_with_atr_risk
2023-12-28,2023-12-27,ETHUSDT,OPEN,BUY,105.55295444492742,2379.539175,251167.39013869516,100.46695605547806,signal_open_with_atr_risk
2023-12-30,2023-12-29,BTCUSDT,CLOSE,SELL,6.135489083357805,42045.90653000001,257972.20051469767,103.18888020587907,signal_or_risk_exit
2024-01-02,2024-01-01,BTCUSDT,OPEN,BUY,7.091084497659296,44201.639775,313437.5625796231,125.37502503184923,signal_open_with_atr_risk
2024-01-04,2024-01-03,ETHUSDT,CLOSE,SELL,105.55295444492742,2208.61514,233125.853258797,93.25034130351881,signal_or_risk_exit
2024-01-09,2024-01-08,ETHUSDT,OPEN,BUY,88.21117017684797,2331.595215,205672.74229388943,82.26909691755577,signal_open_with_atr_risk
2024-01-15,2024-01-14,BTCUSDT,CLOSE,SELL,7.091084497659296,41711.483825,295779.65632582403,118.31186253032962,signal_or_risk_exit
2024-01-22,2024-01-21,ETHUSDT,CLOSE,SELL,88.21117017684797,2455.83147,216631.76772582871,86.65270709033149,signal_or_risk_exit
2024-02-07,2024-02-06,ETHUSDT,OPEN,BUY,139.05216308939936,2373.816315,330084.293377657,132.03371735106282,signal_open_with_atr_risk
2024-02-09,2024-02-08,BTCUSDT,OPEN,BUY,7.667499467953283,45311.30433,347424.40184254426,138.9697607370177,signal_open_with_atr_risk
2024-02-21,2024-02-20,ETHUSDT,CLOSE,SELL,139.05216308939936,3013.302595,419006.2438776503,167.60249755106014,signal_or_risk_exit
