date,equity,cash,pnl_spot,pnl_fees,pnl_total,n_positions
2022-01-01,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-02,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-03,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-04,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-05,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-06,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-07,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-08,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-09,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-10,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-11,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-12,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-13,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-14,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-15,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-16,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-17,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-18,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-19,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2022-01-20,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
