symbol,funding_time,funding_rate,mark_price
ETHUSDT,2021-03-19 00:00:00.011000+00:00,0.0001,
ETHUSDT,2021-03-19 08:00:00.001000+00:00,0.0001,
ETHUSDT,2021-03-19 16:00:00+00:00,0.00037762,
ETHUSDT,2021-03-20 00:00:00+00:00,0.00061811,
ETHUSDT,2021-03-20 08:00:00+00:00,0.000511,
ETHUSDT,2021-03-20 16:00:00.007000+00:00,0.00102646,
ETHUSDT,2021-03-21 00:00:00+00:00,0.00068264,
ETHUSDT,2021-03-21 08:00:00+00:00,0.0001,
ETHUSDT,2021-03-21 16:00:00+00:00,0.00019064,
ETHUSDT,2021-03-22 00:00:00.007000+00:00,0.00053821,
ETHUSDT,2021-03-22 08:00:00.001000+00:00,0.00042754,
ETHUSDT,2021-03-22 16:00:00+00:00,0.00044797,
ETHUSDT,2021-03-23 00:00:00+00:00,0.0001,
ETHUSDT,2021-03-23 08:00:00.010000+00:00,0.00019899,
ETHUSDT,2021-03-23 16:00:00.023000+00:00,0.0003309,
ETHUSDT,2021-03-24 00:00:00.002000+00:00,0.00050608,
ETHUSDT,2021-03-24 08:00:00+00:00,0.00010655,
ETHUSDT,2021-03-24 16:00:00+00:00,0.0004169,
ETHUSDT,2021-03-25 00:00:00+00:00,0.0001,
ETHUSDT,2021-03-25 08:00:00+00:00,0.0001,
ETHUSDT,2021-03-25 16:00:00+00:00,0.00035938,
ETHUSDT,2021-03-26 00:00:00.008000+00:00,0.00042431,
ETHUSDT,2021-03-26 08:00:00+00:00,0.0001,
ETHUSDT,2021-03-26 16:00:00.012000+00:00,0.0001,
ETHUSDT,2021-03-27 00:00:00.018000+00:00,0.0001,
ETHUSDT,2021-03-27 08:00:00+00:00,0.00015922,
ETHUSDT,2021-03-27 16:00:00.001000+00:00,0.00034067,
ETHUSDT,2021-03-28 00:00:00+00:00,0.00025751,
ETHUSDT,2021-03-28 08:00:00+00:00,0.00029541,
ETHUSDT,2021-03-28 16:00:00.005000+00:00,0.00031424,
ETHUSDT,2021-03-29 00:00:00.003000+00:00,0.00022015,
ETHUSDT,2021-03-29 08:00:00+00:00,0.00043803,
ETHUSDT,2021-03-29 16:00:00+00:00,0.00084253,
ETHUSDT,2021-03-30 00:00:00.018000+00:00,0.00074011,
ETHUSDT,2021-03-30 08:00:00.012000+00:00,0.00056645,
ETHUSDT,2021-03-30 16:00:00.001000+00:00,0.00036654,
ETHUSDT,2021-03-31 00:00:00+00:00,0.00076506,
ETHUSDT,2021-03-31 08:00:00+00:00,0.0010713,
ETHUSDT,2021-03-31 16:00:00+00:00,0.00038554,
ETHUSDT,2021-04-01 00:00:00.025000+00:00,0.00156864,
ETHUSDT,2021-04-01 08:00:00.011000+00:00,0.00109222,
